city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
431300000000,娄底市,,430000000000,湖南省,,CN,中国,China
433100000000,湘西土家族苗族自治州,,430000000000,湖南省,,CN,中国,China
440100000000,广州市,,440000000000,广东省,,CN,中国,China
440200000000,韶关市,,440000000000,广东省,,CN,中国,China
440300000000,深圳市,,440000000000,广东省,,CN,中国,China
440400000000,珠海市,,440000000000,广东省,,CN,中国,China
440500000000,汕头市,,440000000000,广东省,,CN,中国,China
440600000000,佛山市,,440000000000,广东省,,CN,中国,China
440700000000,江门市,,440000000000,广东省,,CN,中国,China
440800000000,湛江市,,440000000000,广东省,,CN,中国,China
440900000000,茂名市,,440000000000,广东省,,CN,中国,China
441200000000,肇庆市,,440000000000,广东省,,CN,中国,China
441300000000,惠州市,,440000000000,广东省,,CN,中国,China
441400000000,梅州市,,440000000000,广东省,,CN,中国,China
441500000000,汕尾市,,440000000000,广东省,,CN,中国,China
441600000000,河源市,,440000000000,广东省,,CN,中国,China
441700000000,阳江市,,440000000000,广东省,,CN,中国,China
441800000000,清远市,,440000000000,广东省,,CN,中国,China
441900000000,东莞市,,440000000000,广东省,,CN,中国,China
442000000000,中山市,,440000000000,广东省,,CN,中国,China
445100000000,潮州市,,440000000000,广东省,,CN,中国,China
445200000000,揭阳市,,440000000000,广东省,,CN,中国,China
445300000000,云浮市,,440000000000,广东省,,CN,中国,China
450100000000,南宁市,,450000000000,广西壮族自治区,,CN,中国,China
450200000000,柳州市,,450000000000,广西壮族自治区,,CN,中国,China
450300000000,桂林市,,450000000000,广西壮族自治区,,CN,中国,China
450400000000,梧州市,,450000000000,广西壮族自治区,,CN,中国,China
450500000000,北海市,,450000000000,广西壮族自治区,,CN,中国,China
450600000000,防城港市,,450000000000,广西壮族自治区,,CN,中国,China
450700000000,钦州市,,450000000000,广西壮族自治区,,CN,中国,China
450800000000,贵港市,,450000000000,广西壮族自治区,,CN,中国,China
450900000000,玉林市,,450000000000,广西壮族自治区,,CN,中国,China
