TA_key,from_place,from_date,to_place,to_date,transportation_tools,etl_load_time
TRAVEL-1114956,KMG - 昆明 - KUNMING , 2023-03-30 , TNA - 济南 - JINAN , 2023-03-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1114956,TNA - 济南 - JINAN , 2023-03-31 , SHA - 上海 - SHANGHAI , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1119847,NGB - 宁波 - NINGBO , 2023-04-20 , CSX - 长沙 - CHANGSHA , 2023-04-20 , Plane ,2023-11-07 09:49:06
TRAVEL-1119847,CSX - 长沙 - CHANGSHA , 2023-04-21 , SHANGHAI , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1119847,Shanghai , 2023-04-20 , NGB - 宁波 - NINGBO , 2023-04-20 , Train ,2023-11-07 09:49:06
TRAVEL-1118323,SHA - 上海 - SHANGHAI , 2023-04-04 , CN0399 - 嘉兴 - JIAXING , 2023-04-04 , Train ,2023-11-07 09:49:06
TRAVEL-1118294,CN0387 - 湖州 - HUZHOU , 2023-04-03 , HGH - 杭州 - HANGZHOU , 2023-04-03 , Train ,2023-11-07 09:49:06
TRAVEL-1118294,HGH - 杭州 - HANGZHOU , 2023-04-04 , CN0387 - 湖州 - HUZHOU , 2023-04-04 , Train ,2023-11-07 09:49:06
TRAVEL-1120108,NGB - 宁波 - NINGBO , 2023-04-06 , WNZ - 温州 - WENZHOU , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1120108,WNZ - 温州 - WENZHOU , 2023-04-08 , NGB - 宁波 - NINGBO , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1120159,CSX - 长沙 - CHANGSHA , 2023-04-11 , KMG - 昆明 - KUNMING , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1120159,KMG - 昆明 - KUNMING , 2023-04-11 , 2545 - 弥勒（红河州） - MILE , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1120159,CN0100 - 弥勒县 - MILEXIAN , 2023-04-12 , KMG - 昆明 - KUNMING , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1120159,KMG - 昆明 - KUNMING , 2023-04-14 , CSX - 长沙 - CHANGSHA , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1114423,CN0241 - 镇江 - ZHENJIANG , 2023-03-21 , SHA - 上海 - SHANGHAI , 2023-03-21 , Train ,2023-11-07 09:49:06
TRAVEL-1114423,shanghai , 2023-03-24 , zhenjiang , 2023-03-24 , Train ,2023-11-07 09:49:06
TRAVEL-1119202,SHA - 上海 - SHANGHAI , 2023-04-10 , CTU - 成都 - CHENGDU , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1119202,CTU - 成都 - CHENGDU , 2023-04-14 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1117121,TVS - 唐山 - TANGSHAN , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1117121,SHA - 上海 - SHANGHAI , 2023-04-08 , TVS - 唐山 - TANGSHAN , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1117647,SHA - 上海 - SHANGHAI , 2023-04-03 , WUX - 无锡 - WUXI , 2023-04-03 , Train ,2023-11-07 09:49:06
TRAVEL-1117647,WUX - 无锡 - WUXI , 2023-04-03 , SHA - 上海 - SHANGHAI , 2023-04-03 , Train ,2023-11-07 09:49:06
