a,,,,,,,,(No column name),corder_type
2001173944000980 ,#N/A,,,,,,2001173967000060 ,2001173967000060 ,ZSO
2001173944000990 ,#N/A,,,,,,2001173967000110 ,2001173967000110 ,ZSO
2001173944001000 ,#N/A,,,,,,2001173968000050 ,2001173968000050 ,ZSO
2001173944001010 ,#N/A,,,,,,2001173968000080 ,2001173968000080 ,ZSO
2001173944001020 ,#N/A,,,,,,2001173968000100 ,2001173968000100 ,ZSO
2001173944001030 ,#N/A,,,,,,2001173968000160 ,2001173968000160 ,ZSO
2001173944001040 ,#N/A,,,,,,2001173968000200 ,2001173968000200 ,ZSO
2001173944001050 ,#N/A,,,,,,2001173968000270 ,2001173968000270 ,ZSO
2001173944001060 ,#N/A,,,,,,2001173968000280 ,2001173968000280 ,ZSO
2001173944001070 ,#N/A,,,,,,2001173968000300 ,2001173968000300 ,ZSO
2001173944001080 ,#N/A,,,,,,2001173972000010 ,2001173972000010 ,ZSO
2001173944001090 ,#N/A,,,,,,2001173974000010 ,2001173974000010 ,ZSO
2001173944001100 ,#N/A,,,,,,2001173976000010 ,2001173976000010 ,ZSO
2001173944001110 ,#N/A,,,,,,2001173976000020 ,2001173976000020 ,ZSO
2001173944001120 ,#N/A,,,,,,2001173976000030 ,2001173976000030 ,ZSO
2001173944001130 ,#N/A,,,,,,2001173977000010 ,2001173977000010 ,ZSO
2001173944001140 ,#N/A,,,,,,2001173977000020 ,2001173977000020 ,ZSO
2001173944001150 ,#N/A,,,,,,2001173977000030 ,2001173977000030 ,ZSO
2001173944001160 ,#N/A,,,,,,2001173977000040 ,2001173977000040 ,ZSO
2001173944001170 ,#N/A,,,,,,2001173979000010 ,2001173979000010 ,ZSO
2001173944001180 ,#N/A,,,,,,2001173979000020 ,2001173979000020 ,ZSO
2001173944001190 ,#N/A,,,,,,2001173980000010 ,2001173980000010 ,ZSO
2001173944001200 ,#N/A,,,,,,2001173980000020 ,2001173980000020 ,ZSO
2001173944001210 ,#N/A,,,,,,2001173980000030 ,2001173980000030 ,ZSO
2001173944001220 ,#N/A,,,,,,2001173980000050 ,2001173980000050 ,ZSO
2001173944001230 ,#N/A,,,,,,2001173980000060 ,2001173980000060 ,ZSO
2001173944001240 ,#N/A,,,,,,2001173981000010 ,2001173981000010 ,ZSO
2001173944001250 ,#N/A,,,,,,2001173981000020 ,2001173981000020 ,ZSO
2001173944001260 ,#N/A,,,,,,2001173981000030 ,2001173981000030 ,ZSO
2001173944001270 ,#N/A,,,,,,2001173982000010 ,2001173982000010 ,ZSO
2001173944001280 ,#N/A,,,,,,2001173982000020 ,2001173982000020 ,ZSO
2001173944001290 ,#N/A,,,,,,2001173982000030 ,2001173982000030 ,ZSO
2001173944001300 ,#N/A,,,,,,2001173982000040 ,2001173982000040 ,ZSO
2001173944001310 ,#N/A,,,,,,2001173982000050 ,2001173982000050 ,ZSO
2001173944001320 ,#N/A,,,,,,2001173986000900 ,2001173986000900 ,ZSO
2001173944001330 ,#N/A,,,,,,2001173987000010 ,2001173987000010 ,ZSO
2001173944001340 ,#N/A,,,,,,2001173988000030 ,2001173988000030 ,ZSO
2001173944001350 ,2001173944001350 ,,,,,,2001173989000010 ,2001173989000010 ,ZSO
2001173944001360 ,#N/A,,,,,,2001173991000020 ,2001173991000020 ,ZSO
2001173944001370 ,#N/A,,,,,,2001173991000150 ,2001173991000150 ,ZSO
2001173944001380 ,#N/A,,,,,,2001173991000160 ,2001173991000160 ,ZSO
2001173944001390 ,#N/A,,,,,,2001173991000170 ,2001173991000170 ,ZSO
